LZIB,2020,05,04,20,00,METAR LZIB 042000Z 15003KT 070V160 CAVOK 14/03 Q1014=
LZIB,2020,05,04,20,30,METAR LZIB 042030Z VRB02KT CAVOK 13/03 Q1014=
LZIB,2020,05,04,21,00,METAR LZIB 042100Z 33003KT CAVOK 13/04 Q1014=
LZIB,2020,05,04,21,30,METAR LZIB 042130Z 36003KT 9999 -RA NSC 13/04 Q1014=
LZIB,2020,05,04,22,00,METAR LZIB 042200Z 34002KT 9999 -RA NSC 13/04 Q1014=
LZIB,2020,05,04,22,30,METAR LZIB 042230Z VRB01KT 9999 -RA NSC 13/07 Q1014=
LZIB,2020,05,04,23,00,METAR LZIB 042300Z 22006KT 9999 -RA NSC 14/08 Q1014=
LZIB,2020,05,04,23,30,METAR LZIB 042330Z 25005KT 9999 -RA NSC 14/08 Q1014=
LZIB,2020,05,05,00,00,METAR LZIB 050000Z 18003KT 9999 -RA NSC 13/10 Q1013=
LZIB,2020,05,05,00,30,METAR LZIB 050030Z VRB01KT CAVOK 12/09 Q1013=
LZIB,2020,05,05,01,00,METAR LZIB 050100Z VRB01KT CAVOK 13/09 Q1013=
LZIB,2020,05,05,01,30,METAR LZIB 050130Z VRB02KT 9999 -RA NSC 13/09 Q1013=
LZIB,2020,05,05,02,00,METAR LZIB 050200Z 29007KT 9999 FEW020 BKN056 13/09 Q1013=
LZIB,2020,05,05,02,30,METAR LZIB 050230Z 27006KT 9999 FEW031 SCT040 BKN065 13/08 Q1013=
LZIB,2020,05,05,03,00,METAR LZIB 050300Z 25008KT 9999 FEW020 SCT045 BKN060 13/09 Q1013=
LZIB,2020,05,05,03,30,METAR LZIB 050330Z 28006KT 250V310 9999 FEW015 SCT036 BKN070 13/09 Q1013=
LZIB,2020,05,05,04,00,METAR LZIB 050400Z 30005KT 270V330 9999 SCT014 SCT047 12/09 Q1013 NOSIG=
LZIB,2020,05,05,04,13,SPECI LZIB 050413Z 29005KT 240V330 9999 BKN013 12/09 Q1013=
LZIB,2020,05,05,04,30,METAR LZIB 050430Z 30008KT 270V350 9999 BKN014 12/09 Q1014 NOSIG=
LZIB,2020,05,05,04,37,SPECI LZIB 050437Z 30009KT 270V330 9999 FEW015 SCT018 12/08 Q1014=
LZIB,2020,05,05,05,00,METAR LZIB 050500Z 29011KT 9999 FEW015 BKN017 12/07 Q1014 NOSIG=
LZIB,2020,05,05,05,30,METAR LZIB 050530Z 32008KT 9999 BKN018 SCT081 11/07 Q1015 NOSIG=
LZIB,2020,05,05,06,00,METAR LZIB 050600Z 33014KT 9999 SCT021 SCT084 12/06 Q1014 NOSIG=
LZIB,2020,05,05,06,30,METAR LZIB 050630Z 34012KT 9999 SCT021 SCT095 12/06 Q1015 NOSIG=
LZIB,2020,05,05,07,00,METAR LZIB 050700Z 34014KT 9999 SCT024 SCT095 14/06 Q1015 NOSIG=
LZIB,2020,05,05,07,30,METAR LZIB 050730Z 36014KT 9999 BKN025 13/06 Q1015 NOSIG=
LZIB,2020,05,05,08,00,METAR LZIB 050800Z 34011KT 9999 SCT027 BKN031 14/06 Q1015 NOSIG=
LZIB,2020,05,05,08,30,METAR LZIB 050830Z 35010KT 9999 SCT028 BKN034 14/05 Q1015 NOSIG=
LZIB,2020,05,05,09,00,METAR LZIB 050900Z 34008KT 310V020 9999 SCT033 BKN040 14/05 Q1015 NOSIG=
LZIB,2020,05,05,09,30,METAR LZIB 050930Z 33008KT 310V010 9999 SCT034 BKN040 14/05 Q1015 NOSIG=
LZIB,2020,05,05,10,00,METAR LZIB 051000Z 35007KT 310V040 9999 SCT036 BKN046 15/05 Q1015 NOSIG=
LZIB,2020,05,05,10,30,METAR LZIB 051030Z 33005KT 260V360 9999 SCT040 BKN053 15/04 Q1015 NOSIG=
LZIB,2020,05,05,11,00,METAR LZIB 051100Z 35010KT 320V020 9999 SCT043 BKN051 15/03 Q1014 NOSIG=
LZIB,2020,05,05,11,04,SPECI LZIB 051104Z VRB05KT 9999 FEW043 BKN048 17/05 Q1014=
LZIB,2020,05,05,11,30,METAR LZIB 051130Z 30007KT 240V040 9999 FEW046 BKN050 16/04 Q1014 NOSIG=
LZIB,2020,05,05,12,00,METAR LZIB 051200Z 33007KT 260V020 CAVOK 16/02 Q1014 NOSIG=
LZIB,2020,05,05,12,30,METAR LZIB 051230Z 31011KT CAVOK 16/01 Q1014 NOSIG=
LZIB,2020,05,05,13,00,METAR LZIB 051300Z 30012KT CAVOK 17/01 Q1014 NOSIG=
LZIB,2020,05,05,13,30,METAR LZIB 051330Z 32011KT CAVOK 16/00 Q1014 NOSIG=
LZIB,2020,05,05,13,33,SPECI LZIB 051333Z 31011KT 270V010 CAVOK 18/M00 Q1014=
LZIB,2020,05,05,14,00,METAR LZIB 051400Z 36012KT 330V030 CAVOK 17/00 Q1013 NOSIG=
LZIB,2020,05,05,14,30,METAR LZIB 051430Z 34011KT CAVOK 18/M01 Q1013 NOSIG=
LZIB,2020,05,05,15,00,METAR LZIB 051500Z 35014KT 300V040 CAVOK 16/M01 Q1013 NOSIG=
LZIB,2020,05,05,15,30,METAR LZIB 051530Z 31011KT 270V340 CAVOK 17/M01 Q1013 NOSIG=
LZIB,2020,05,05,16,00,METAR LZIB 051600Z 34012KT CAVOK 16/M02 Q1013 NOSIG=
LZIB,2020,05,05,16,30,METAR LZIB 051630Z 36011KT CAVOK 16/M01 Q1013 NOSIG=
LZIB,2020,05,05,17,00,METAR LZIB 051700Z 35011KT CAVOK 15/M00 Q1013 NOSIG=
LZIB,2020,05,05,17,30,METAR LZIB 051730Z 36009KT CAVOK 14/M00 Q1014 NOSIG=
LZIB,2020,05,05,18,00,METAR LZIB 051800Z 01011KT CAVOK 13/01 Q1014 NOSIG=
LZIB,2020,05,05,18,30,METAR LZIB 051830Z 01009KT CAVOK 13/02 Q1014=
LZIB,2020,05,05,19,00,METAR LZIB 051900Z 35009KT CAVOK 13/01 Q1015=
LZIB,2020,05,05,19,30,METAR LZIB 051930Z 35015KT CAVOK 12/00 Q1015=
